county_fips,n_centers,burn_beds,population_total,burn_beds_per_100k
36027,0,0,296467.0,0.0
36029,1,8,951232.0,0.8410146000134562
36047,0,0,2679620.0,0.0
36055,1,50,756406.0,6.6102066879427195
36059,1,10,1389160.0,0.7198594834288347
36061,2,25,1645867.0,1.5189562704641384
36067,1,6,472637.0,1.269473189784126
36071,0,0,401237.0,0.0
36081,0,0,2360826.0,0.0
36085,1,10,492925.0,2.028706192625653
36103,0,0,1524486.0,0.0
36119,1,10,997904.0,1.0021004024435216
37021,0,0,269449.0,0.0
37063,0,0,325101.0,0.0
37067,1,24,383739.0,6.254250936183187
37081,0,0,539557.0,0.0
37119,0,0,1115403.0,0.0
37129,0,0,228134.0,0.0
37135,1,36,145919.0,24.671221705192607
37147,0,0,171196.0,0.0
37183,0,0,1132103.0,0.0
38015,0,0,98443.0,0.0
38017,0,0,186328.0,0.0
38035,0,0,72927.0,0.0
39003,0,0,102087.0,0.0
39035,1,14,1256620.0,1.1140997278413522
39049,2,33,1318149.0,2.503510604643329
39061,1,10,827671.0,1.2082095421973225
39095,1,10,430014.0,2.3255056812103794
39099,0,0,227979.0,0.0
39113,2,15,536121.0,2.797875852652666
39139,0,0,125008.0,0.0
39151,0,0,374199.0,0.0
39153,0,0,539361.0,0.0
40109,0,0,795822.0,0.0
40143,1,13,668923.0,1.9434224865941223
41003,0,0,95615.0,0.0
41017,0,0,199352.0,0.0
41029,0,0,222604.0,0.0
41039,0,0,382218.0,0.0
41047,0,0,345815.0,0.0
41051,1,16,808098.0,1.9799578763961796
42003,1,14,1245310.0,1.1242180661843237
42011,0,0,428483.0,0.0
42013,0,0,122640.0,0.0
42017,0,0,645163.0,0.0
42021,0,0,133263.0,0.0
42029,0,0,536474.0,0.0
42041,0,0,261269.0,0.0
42045,1,14,575312.0,2.433462190950302
42049,0,0,270495.0,0.0
42069,0,0,215672.0,0.0
42071,0,0,553202.0,0.0
42077,1,18,374110.0,4.811419101333833
42079,0,0,325396.0,0.0
42091,0,0,856399.0,0.0
42093,0,0,18165.0,0.0
42095,0,0,314299.0,0.0
42101,3,28,1593208.0,1.7574604194806955
42133,0,0,457051.0,0.0
44007,1,0,657984.0,0.0
45019,1,25,409840.0,6.09994144056217
45041,0,0,137015.0,0.0
45045,0,0,528251.0,0.0
45051,0,0,356578.0,0.0
45079,0,0,416161.0,0.0
45083,0,0,330119.0,0.0
46099,0,0,197742.0,0.0
46103,0,0,110386.0,0.0
47037,2,37,709786.0,5.212838799300071
47065,0,0,367193.0,0.0
47093,0,0,481406.0,0.0
47157,1,14,926440.0,1.5111610034109064
47179,0,0,133282.0,0.0
48027,0,0,372821.0,0.0
48029,3,71,2014059.0,3.525219469737481
48041,0,0,234548.0,0.0
48061,0,0,421854.0,0.0
48085,1,15,1079153.0,1.3899789927841557
48113,1,30,2604053.0,1.1520502846908263
48121,0,0,914870.0,0.0
48141,0,0,863832.0,0.0
48167,2,36,350801.0,10.262228442906377
48201,1,14,4726177.0,0.296222507113043
48209,0,0,245351.0,0.0
48215,0,0,873167.0,0.0
48303,1,10,311509.0,3.2101801232067135
48339,0,0,629989.0,0.0
48423,0,0,234667.0,0.0
48439,0,0,2113854.0,0.0
48453,1,30,1289054.0,2.3272880732692345
48485,0,0,129584.0,0.0
48491,0,0,617396.0,0.0
49035,1,15,1180643.0,1.2704941290466296
49049,0,0,666021.0,0.0
49057,0,0,262960.0,0.0
50007,1,9,168309.0,5.347307630607989
51013,0,0,235845.0,0.0
51059,0,0,1145354.0,0.0
51087,0,0,333120.0,0.0
51630,0,0,28258.0,0.0
51680,0,0,79166.0,0.0
51700,0,0,185118.0,0.0
51710,1,16,236973.0,6.751824047465322
51760,2,52,227171.0,22.890245673963665
51770,0,0,99213.0,0.0
51840,0,0,28103.0,0.0
53011,0,0,504091.0,0.0
53033,1,40,2254371.0,1.7743308443907415
53053,0,0,918993.0,0.0
53061,0,0,828337.0,0.0
53073,0,0,226523.0,0.0
54011,1,4,93965.0,4.256904166444953
54039,0,0,179895.0,0.0
54061,0,0,105988.0,0.0
54069,0,0,42224.0,0.0
55009,0,0,268393.0,0.0
55025,1,11,559891.0,1.9646681229024936
55063,0,0,120216.0,0.0
55073,0,0,137820.0,0.0
55079,2,17,933063.0,1.8219562880534328
55105,0,0,163817.0,0.0
